dt_id,pred_prob,overall_risk_pred,num_param_differences,subset_risk_pred
tp_1,0.6877681698328911,0.9869938525631256,0,1.0
tp_1,0.6877681698328911,0.9869938525631256,1,0.9615384615384616
tp_1,0.6877681698328911,0.9869938525631256,2,0.9487179487179487
tp_1,0.6877681698328911,0.9869938525631256,3,0.9493006993006993
tp_1,0.6877681698328911,0.9869938525631256,4,0.955944055944056
tp_1,0.6877681698328911,0.9869938525631256,5,0.964500777000777
tp_1,0.6877681698328911,0.9869938525631256,6,0.972829254079254
tp_1,0.6877681698328911,0.9869938525631256,7,0.9799861596736597
tp_1,0.6877681698328911,0.9869938525631256,8,0.9856983294483295
tp_1,0.6877681698328911,0.9869938525631256,9,0.9900322333916084
tp_1,0.6877681698328911,0.9869938525631256,10,0.993198208041958
tp_1,0.6877681698328911,0.9869938525631256,11,0.9954427083333334
tp_1,0.6877681698328911,0.9869938525631256,12,0.9969951923076923
tp_1,0.6877681698328911,0.9869938525631256,13,0.998046875
fn_1,0.4368334763905327,0.9284661890971905,0,0.0
fn_1,0.4368334763905327,0.9284661890971905,1,0.3076923076923077
fn_1,0.4368334763905327,0.9284661890971905,2,0.5128205128205128
fn_1,0.4368334763905327,0.9284661890971905,3,0.6499125874125874
fn_1,0.4368334763905327,0.9284661890971905,4,0.7436188811188811
fn_1,0.4368334763905327,0.9284661890971905,5,0.8099019036519036
fn_1,0.4368334763905327,0.9284661890971905,6,0.8584371357808858
fn_1,0.4368334763905327,0.9284661890971905,7,0.8948909163752914
fn_1,0.4368334763905327,0.9284661890971905,8,0.9226095085470085
fn_1,0.4368334763905327,0.9284661890971905,9,0.9436926354895104
fn_1,0.4368334763905327,0.9284661890971905,10,0.959595580201049
fn_1,0.4368334763905327,0.9284661890971905,11,0.9714292868589743
fn_1,0.4368334763905327,0.9284661890971905,12,0.9800931490384616
fn_1,0.4368334763905327,0.9284661890971905,13,0.986328125
tn_1,0.40470324297426996,0.9659592190541063,0,0.0
tn_1,0.40470324297426996,0.9659592190541063,1,0.34615384615384615
